gamma,self_value,edge_value,diagonal_value,edge_excess,diagonal_excess,analytic_regime,numerical_policy_00_10_01_11,analytic_numerical_max_error
0.222,1.136196319018405,1.2269938650306749,1.2269938650306749,0.09079754601226986,0.09079754601226986,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.224,1.1377049180327867,1.2295081967213115,1.2295081967213115,0.09180327868852478,0.09180327868852478,SIC/SIC/SIC,SIC/SIC/SIC/SIC,6.661338147750939e-16
0.226,1.1392197125256673,1.2320328542094456,1.2320328542094456,0.0928131416837783,0.0928131416837783,SIC/SIC/SIC,SIC/SIC/SIC/SIC,8.881784197001252e-16
0.228,1.1407407407407408,1.234567901234568,1.234567901234568,0.09382716049382722,0.09382716049382722,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.1102230246251565e-15
0.23,1.1422680412371136,1.2371134020618557,1.2371134020618557,0.09484536082474215,0.09484536082474215,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.1102230246251565e-15
0.232,1.1438016528925619,1.2396694214876034,1.2396694214876034,0.09586776859504154,0.09586776859504154,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.3322676295501878e-15
0.234,1.1453416149068323,1.2422360248447204,1.2422360248447204,0.09689440993788812,0.09689440993788812,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.5543122344752192e-15
0.23600000000000002,1.1468879668049792,1.2448132780082988,1.2448132780082988,0.0979253112033196,0.0979253112033196,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.7763568394002505e-15
0.23800000000000002,1.1484407484407486,1.2474012474012475,1.2474012474012475,0.09896049896049885,0.09896049896049885,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-15
0.24,1.15,1.25,1.25,0.10000000000000009,0.10000000000000009,SIC/SIC/SIC,SIC/SIC/SIC/SIC,6.661338147750939e-16
0.242,1.1515657620041753,1.2526096033402923,1.2526096033402923,0.10104384133611699,0.10104384133611699,SIC/SIC/SIC,SIC/SIC/SIC/SIC,6.661338147750939e-16
0.244,1.1531380753138076,1.2552301255230125,1.2552301255230125,0.10209205020920487,0.10209205020920487,SIC/SIC/SIC,SIC/SIC/SIC/SIC,8.881784197001252e-16
0.246,1.1547169811320757,1.257861635220126,1.257861635220126,0.10314465408805029,0.10314465408805029,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.1102230246251565e-15
0.248,1.1563025210084033,1.2605042016806722,1.2605042016806722,0.10420168067226898,0.10420168067226898,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.1102230246251565e-15
0.25,1.1578947368421053,1.263157894736842,1.263157894736842,0.10526315789473673,0.10526315789473673,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.3322676295501878e-15
0.252,1.159493670886076,1.2658227848101264,1.2658227848101264,0.10632911392405053,0.10632911392405053,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.5543122344752192e-15
0.254,1.1610993657505284,1.2684989429175475,1.2684989429175475,0.10739957716701909,0.10739957716701909,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.7763568394002505e-15
0.256,1.1627118644067795,1.2711864406779663,1.2711864406779663,0.10847457627118673,0.10847457627118673,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.4424906541753444e-15
0.258,1.1643312101910828,1.2738853503184713,1.2738853503184713,0.10955414012738851,0.10955414012738851,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.6645352591003757e-15
0.26,1.1659574468085108,1.276595744680851,1.276595744680851,0.11063829787234014,0.11063829787234014,SIC/SIC/SIC,SIC/SIC/SIC/SIC,6.661338147750939e-16
0.262,1.1675906183368872,1.279317697228145,1.279317697228145,0.11172707889125788,0.11172707889125788,SIC/SIC/SIC,SIC/SIC/SIC/SIC,8.881784197001252e-16
0.264,1.1692307692307693,1.2820512820512822,1.2820512820512822,0.11282051282051286,0.11282051282051286,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.1102230246251565e-15
0.266,1.1708779443254818,1.284796573875803,1.284796573875803,0.11391862955032117,0.11391862955032117,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.1102230246251565e-15
0.268,1.1725321888412017,1.2875536480686696,1.2875536480686696,0.11502145922746787,0.11502145922746787,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.5543122344752192e-15
0.27,1.1741935483870967,1.2903225806451613,1.2903225806451613,0.11612903225806459,0.11612903225806459,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.5543122344752192e-15
0.272,1.1758620689655173,1.293103448275862,1.293103448275862,0.11724137931034484,0.11724137931034484,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.9984014443252818e-15
0.274,1.177537796976242,1.2958963282937366,1.2958963282937366,0.11835853131749463,0.11835853131749463,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.4424906541753444e-15
0.276,1.1792207792207792,1.2987012987012987,1.2987012987012987,0.11948051948051952,0.11948051948051952,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.6645352591003757e-15
0.278,1.1809110629067245,1.3015184381778744,1.3015184381778744,0.12060737527114984,0.12060737527114984,SIC/SIC/SIC,SIC/SIC/SIC/SIC,8.881784197001252e-16
0.28,1.182608695652174,1.3043478260869565,1.3043478260869565,0.12173913043478257,0.12173913043478257,SIC/SIC/SIC,SIC/SIC/SIC/SIC,8.881784197001252e-16
0.28200000000000003,1.184313725490196,1.3071895424836601,1.3071895424836601,0.12287581699346406,0.12287581699346406,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.1102230246251565e-15
0.28400000000000003,1.1860262008733624,1.3100436681222707,1.3100436681222707,0.12401746724890828,0.12401746724890828,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.1102230246251565e-15
0.28600000000000003,1.187746170678337,1.312910284463895,1.312910284463895,0.12516411378555792,0.12516411378555792,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.5543122344752192e-15
0.28800000000000003,1.1894736842105262,1.3157894736842106,1.3157894736842106,0.12631578947368438,0.12631578947368438,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.7763568394002505e-15
0.29,1.1912087912087912,1.3186813186813187,1.3186813186813187,0.12747252747252746,0.12747252747252746,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-15
