run_id,environment,initial_state,backend,seed,phase,goal_id,goal_name,episodes,success_rate,mean_steps_success,mean_reward
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,evaluation,5,X0_Z0,100,1.0,3.78,10.982200000000002
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,evaluation,6,weakZ0_Z0,100,0.0,nan,-0.15
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,evaluation,-1,OVERALL,700,0.8528571428571429,3.648241206030151,8.772485714285715
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,training,0,Z0,62,0.8387096774193549,2.730769230769231,8.348387096774195
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,training,1,Z1,65,0.8307692307692308,3.4444444444444446,8.262
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,training,2,X0,46,1.0,4.304347826086956,9.966956521739132
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,training,3,X1,63,0.9206349206349206,6.155172413793103,9.146984126984128
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,training,4,Z0_X0,64,0.8125,6.211538461538462,9.00140625
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,training,5,X0_Z0,50,0.8,7.15,8.8096
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,training,6,weakZ0_Z0,50,0.56,5.25,6.156600000000001
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,training,-1,OVERALL,400,0.825,4.966666666666667,8.534425
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,evaluation,0,Z0,100,1.0,2.86,9.9814
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,evaluation,1,Z1,100,1.0,2.96,9.980400000000001
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,evaluation,2,X0,100,1.0,3.86,9.971400000000001
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,evaluation,3,X1,100,0.97,4.752577319587629,9.659100000000002
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,evaluation,4,Z0_X0,100,0.94,5.276595744680851,10.360800000000001
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,evaluation,5,X0_Z0,100,0.98,6.428571428571429,10.753800000000002
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,evaluation,6,weakZ0_Z0,100,0.55,3.2,5.986000000000001
qubit-zx-weak__plus__multi-gru__seed0,qubit-zx-weak,plus,multi-gru,0,evaluation,-1,OVERALL,700,0.92,4.240683229813665,9.527557142857145
qubit-zx-weak__plus__multi-gru__seed1,qubit-zx-weak,plus,multi-gru,1,training,0,Z0,55,0.9272727272727272,3.0980392156862746,9.242363636363638
qubit-zx-weak__plus__multi-gru__seed1,qubit-zx-weak,plus,multi-gru,1,training,1,Z1,64,0.953125,4.704918032786885,9.488906250000001
qubit-zx-weak__plus__multi-gru__seed1,qubit-zx-weak,plus,multi-gru,1,training,2,X0,57,0.9298245614035088,1.5849056603773586,9.282280701754386
qubit-zx-weak__plus__multi-gru__seed1,qubit-zx-weak,plus,multi-gru,1,training,3,X1,54,0.9629629629629629,4.980769230769231,9.585740740740743
qubit-zx-weak__plus__multi-gru__seed1,qubit-zx-weak,plus,multi-gru,1,training,4,Z0_X0,62,0.8548387096774194,7.056603773584905,9.370806451612907
qubit-zx-weak__plus__multi-gru__seed1,qubit-zx-weak,plus,multi-gru,1,training,5,X0_Z0,53,0.9245283018867925,7.775510204081633,10.181320754716982
qubit-zx-weak__plus__multi-gru__seed1,qubit-zx-weak,plus,multi-gru,1,training,6,weakZ0_Z0,55,0.41818181818181815,6.260869565217392,4.60509090909091
qubit-zx-weak__plus__multi-gru__seed1,qubit-zx-weak,plus,multi-gru,1,training,-1,OVERALL,400,0.855,4.932748538011696,8.84055
qubit-zx-weak__plus__multi-gru__seed1,qubit-zx-weak,plus,multi-gru,1,evaluation,0,Z0,100,1.0,2.9,9.981
qubit-zx-weak__plus__multi-gru__seed1,qubit-zx-weak,plus,multi-gru,1,evaluation,1,Z1,100,1.0,3.42,9.975800000000001
qubit-zx-weak__plus__multi-gru__seed1,qubit-zx-weak,plus,multi-gru,1,evaluation,2,X0,100,1.0,1.0,10.0
qubit-zx-weak__plus__multi-gru__seed1,qubit-zx-weak,plus,multi-gru,1,evaluation,3,X1,100,0.99,4.656565656565657,9.862300000000003
qubit-zx-weak__plus__multi-gru__seed1,qubit-zx-weak,plus,multi-gru,1,evaluation,4,Z0_X0,100,0.98,6.224489795918367,10.755799999999999
