memory,sharpness,analytic_bellman_max_error,bellman_iterations,is_metric
0.44999999999999996,0.55,1.3677947663381929e-13,63,True
0.44999999999999996,0.6,1.3722356584366935e-13,62,True
0.44999999999999996,0.65,1.4077627952246985e-13,61,True
0.44999999999999996,0.7000000000000001,8.482103908136196e-14,61,True
0.44999999999999996,0.75,8.659739592076221e-14,60,True
0.44999999999999996,0.8,8.970602038971265e-14,59,True
0.44999999999999996,0.85,9.370282327836321e-14,58,True
0.44999999999999996,0.9,9.85878045867139e-14,57,True
0.44999999999999996,0.9500000000000001,1.0480505352461478e-13,56,True
0.44999999999999996,1.0,1.1324274851176597e-13,55,True
0.49999999999999994,0.1,1.3233858453531866e-13,65,True
0.49999999999999994,0.15000000000000002,1.376676550535194e-13,64,True
0.49999999999999994,0.2,1.4344081478157023e-13,63,True
0.49999999999999994,0.25,9.103828801926284e-14,63,True
0.49999999999999994,0.30000000000000004,9.636735853746359e-14,62,True
0.49999999999999994,0.35,1.0347278589506459e-13,61,True
0.49999999999999994,0.4,1.1057821325266559e-13,60,True
0.49999999999999994,0.45000000000000007,1.1945999744966684e-13,59,True
0.49999999999999994,0.5,1.3011813848606835e-13,58,True
0.49999999999999994,0.55,8.260059303211165e-14,58,True
0.49999999999999994,0.6,9.103828801926284e-14,57,True
0.49999999999999994,0.65,1.0125233984581428e-13,56,True
0.49999999999999994,0.7000000000000001,1.1368683772161603e-13,55,True
0.49999999999999994,0.75,6.972200594645983e-14,55,True
0.49999999999999994,0.8,8.038014698286133e-14,54,True
0.49999999999999994,0.85,9.192646643896296e-14,53,True
0.49999999999999994,0.9,1.0746958878371515e-13,52,True
0.49999999999999994,0.9500000000000001,6.750155989720952e-14,52,True
0.49999999999999994,1.0,7.904787935331115e-14,51,True
0.5499999999999999,0.1,8.304468224196171e-14,59,True
0.5499999999999999,0.15000000000000002,9.592326932761353e-14,58,True
0.5499999999999999,0.2,1.0969003483296547e-13,57,True
0.5499999999999999,0.25,1.283417816466681e-13,56,True
0.5499999999999999,0.30000000000000004,8.482103908136196e-14,56,True
0.5499999999999999,0.35,9.992007221626409e-14,55,True
0.5499999999999999,0.4,1.1857181902996672e-13,54,True
0.5499999999999999,0.45000000000000007,7.771561172376096e-14,54,True
0.5499999999999999,0.5,9.325873406851315e-14,53,True
0.5499999999999999,0.55,1.1368683772161603e-13,52,True
0.5499999999999999,0.6,7.460698725481052e-14,52,True
0.5499999999999999,0.65,9.14823772291129e-14,51,True
0.5499999999999999,0.7000000000000001,5.950795411990839e-14,51,True
0.5499999999999999,0.75,7.416289804496046e-14,50,True
0.5499999999999999,0.8,9.281464485866309e-14,49,True
0.5499999999999999,0.85,6.039613253960852e-14,49,True
0.5499999999999999,0.9,7.682743330406083e-14,48,True
0.5499999999999999,0.9500000000000001,1.0036416142611415e-13,47,True
0.5499999999999999,1.0,6.350475700855895e-14,47,True
0.6,0.1,7.149836278586008e-14,53,True
0.6,0.15000000000000002,9.103828801926284e-14,52,True
0.6,0.2,6.261657858885883e-14,52,True
0.6,0.25,8.038014698286133e-14,51,True
0.6,0.30000000000000004,1.0391687510491465e-13,50,True
