target,repertoire,dx,dy,radius,training,truth,prediction,relative_error,absolute_error
fubini-study,D8,-8,6,10.000000000000,0,9.720311526578,9.948656000050,0.023491476878,0.228344473472
fubini-study,D8,-8,7,10.630145812735,0,10.243423103118,10.273432000058,0.002929577021,0.030008896940
fubini-study,D8,-8,8,11.313708498985,0,10.751340110320,10.598208000067,-0.014243071904,-0.153132110253
fubini-study,D8,-7,-9,11.401754250991,0,10.699476334423,11.273432000058,0.053643341758,0.573955665635
fubini-study,D8,-7,-8,10.630145812735,0,10.157373210086,10.273432000058,0.011426063370,0.116058789972
fubini-study,D8,-7,-7,9.899494936612,0,9.577026741031,9.273432000058,-0.031700312548,-0.303594740973
fubini-study,D8,-7,-6,9.219544457293,0,8.993551304692,8.948656000050,-0.004991944019,-0.044895304642
fubini-study,D8,-7,-5,8.602325267043,0,8.435998584892,8.623880000042,0.022271390074,0.187881415150
fubini-study,D8,-7,-4,8.062257748299,0,7.930544061122,8.299104000033,0.046473474716,0.368559938911
fubini-study,D8,-7,-3,7.615773105864,0,7.502146628193,7.974328000025,0.062939501883,0.472181371832
fubini-study,D8,-7,-2,7.280109889281,0,7.174489521353,7.649552000017,0.066215509445,0.475062478663
fubini-study,D8,-7,-1,7.071067811865,0,6.968177917682,7.324776000008,0.051175226370,0.356598082327
fubini-study,D8,-7,0,7.000000000000,0,6.897658830084,7.000000000000,0.014837087835,0.102341169916
fubini-study,D8,-7,1,7.071067811865,0,6.968177917682,7.324776000008,0.051175226370,0.356598082327
fubini-study,D8,-7,2,7.280109889281,0,7.174489521353,7.649552000017,0.066215509445,0.475062478663
fubini-study,D8,-7,3,7.615773105864,0,7.502146628193,7.974328000025,0.062939501883,0.472181371832
fubini-study,D8,-7,4,8.062257748299,0,7.930544061122,8.299104000033,0.046473474716,0.368559938911
fubini-study,D8,-7,5,8.602325267043,0,8.435998584892,8.623880000042,0.022271390074,0.187881415150
fubini-study,D8,-7,6,9.219544457293,0,8.993551304692,8.948656000050,-0.004991944019,-0.044895304642
fubini-study,D8,-7,7,9.899494936612,0,9.577026741031,9.273432000058,-0.031700312548,-0.303594740973
fubini-study,D8,-7,8,10.630145812735,0,10.157373210086,10.273432000058,0.011426063370,0.116058789972
fubini-study,D8,-7,9,11.401754250991,0,10.699476334423,11.273432000058,0.053643341758,0.573955665635
fubini-study,D8,-6,-10,11.661903789691,0,10.812048070307,11.948656000050,0.105124202404,1.136607929743
fubini-study,D8,-6,-9,10.816653826392,0,10.239916730747,10.948656000050,0.069213382095,0.708739269303
fubini-study,D8,-6,-8,10.000000000000,0,9.608949607872,9.948656000050,0.035353124539,0.339706392178
fubini-study,D8,-6,-7,9.219544457293,0,8.954170722201,8.948656000050,-0.000615883070,-0.005514722151
fubini-study,D8,-6,-6,8.485281374239,0,8.303780249073,7.948656000050,-0.042766575990,-0.355124249023
fubini-study,D8,-6,-5,7.810249675907,0,7.683098650634,7.623880000042,-0.007707651988,-0.059218650592
fubini-study,D8,-6,-4,7.211102550928,0,7.117418244088,7.299104000033,0.025526918570,0.181685755946
fubini-study,D8,-6,-3,6.708203932499,0,6.633523995158,6.974328000025,0.051376011471,0.340804004867
fubini-study,D8,-6,-2,6.324555320337,0,6.259424316883,6.649552000017,0.062326447830,0.390127683134
fubini-study,D8,-6,-1,6.082762530298,0,6.021610120561,6.324776000008,0.050346314919,0.303165879447
fubini-study,D8,-6,0,6.000000000000,0,5.939861276069,6.000000000000,0.010124600750,0.060138723931
fubini-study,D8,-6,1,6.082762530298,0,6.021610120561,6.324776000008,0.050346314919,0.303165879447
fubini-study,D8,-6,2,6.324555320337,0,6.259424316883,6.649552000017,0.062326447830,0.390127683134
fubini-study,D8,-6,3,6.708203932499,0,6.633523995158,6.974328000025,0.051376011471,0.340804004867
fubini-study,D8,-6,4,7.211102550928,0,7.117418244088,7.299104000033,0.025526918570,0.181685755946
fubini-study,D8,-6,5,7.810249675907,0,7.683098650634,7.623880000042,-0.007707651988,-0.059218650592
fubini-study,D8,-6,6,8.485281374239,0,8.303780249073,7.948656000050,-0.042766575990,-0.355124249023
fubini-study,D8,-6,7,9.219544457293,0,8.954170722201,8.948656000050,-0.000615883070,-0.005514722151
fubini-study,D8,-6,8,10.000000000000,0,9.608949607872,9.948656000050,0.035353124539,0.339706392178
fubini-study,D8,-6,9,10.816653826392,0,10.239916730747,10.948656000050,0.069213382095,0.708739269303
fubini-study,D8,-6,10,11.661903789691,0,10.812048070307,11.948656000050,0.105124202404,1.136607929743
fubini-study,D8,-5,-10,11.180339887499,0,10.502577182143,11.623880000042,0.106764539641,1.121302817899
fubini-study,D8,-5,-9,10.295630140987,0,9.830081019998,10.623880000042,0.080752028231,0.793798980044
fubini-study,D8,-5,-8,9.433981132057,0,9.116214569716,9.623880000042,0.055688183559,0.507665430325
fubini-study,D8,-5,-7,8.602325267043,0,8.387404563894,8.623880000042,0.028194113488,0.236475436147
fubini-study,D8,-5,-6,7.810249675907,0,7.666078564991,7.623880000042,-0.005504582896,-0.042198564950
fubini-study,D8,-5,-5,7.071067811865,0,6.974324167541,6.623880000042,-0.050247760081,-0.350444167499
fubini-study,D8,-5,-4,6.403124237433,0,6.336780449286,6.299104000033,-0.005945676918,-0.037676449252
fubini-study,D8,-5,-3,5.830951894845,0,5.782756514240,5.974328000025,0.033128056717,0.191571485785
fubini-study,D8,-5,-2,5.385164807135,0,5.346686660391,5.649552000017,0.056645425263,0.302865339626
fubini-study,D8,-5,-1,5.099019513593,0,5.064908910927,5.324776000008,0.051307356885,0.259867089081
fubini-study,D8,-5,0,5.000000000000,0,4.967075861512,5.000000000000,0.006628475064,0.032924138488
fubini-study,D8,-5,1,5.099019513593,0,5.064908910927,5.324776000008,0.051307356885,0.259867089081
fubini-study,D8,-5,2,5.385164807135,0,5.346686660391,5.649552000017,0.056645425263,0.302865339626
fubini-study,D8,-5,3,5.830951894845,0,5.782756514240,5.974328000025,0.033128056717,0.191571485785
fubini-study,D8,-5,4,6.403124237433,0,6.336780449286,6.299104000033,-0.005945676918,-0.037676449252
fubini-study,D8,-5,5,7.071067811865,0,6.974324167541,6.623880000042,-0.050247760081,-0.350444167499
